date,Heizung Und Sanitär,isPartial
2018-01-07,47,False
2018-01-14,53,False
2018-01-21,54,False
2018-01-28,40,False
2018-02-04,70,False
2018-02-11,41,False
2018-02-18,68,False
2018-02-25,41,False
2018-03-04,34,False
2018-03-11,54,False
2018-03-18,34,False
2018-03-25,44,False
2018-04-01,51,False
2018-04-08,41,False
2018-04-15,28,False
2018-04-22,27,False
2018-04-29,49,False
2018-05-06,32,False
2018-05-13,47,False
2018-05-20,21,False
2018-05-27,47,False
2018-06-03,41,False
2018-06-10,49,False
2018-06-17,40,False
2018-06-24,31,False
2018-07-01,20,False
2018-07-08,69,False
2018-07-15,28,False
2018-07-22,53,False
2018-07-29,50,False
2018-08-05,29,False
2018-08-12,50,False
2018-08-19,28,False
2018-08-26,62,False
2018-09-02,34,False
2018-09-09,52,False
2018-09-16,27,False
2018-09-23,42,False
2018-09-30,56,False
2018-10-07,49,False
2018-10-14,49,False
2018-10-21,91,False
2018-10-28,61,False
2018-11-04,88,False
2018-11-11,53,False
2018-11-18,58,False
2018-11-25,59,False
2018-12-02,52,False
2018-12-09,59,False
2018-12-16,61,False
2018-12-23,35,False
2018-12-30,43,False
2019-01-06,51,False
2019-01-13,47,False
2019-01-20,100,False
2019-01-27,68,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,45,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,65,False
2019-03-17,79,False
2019-03-24,39,False
2019-03-31,45,False
2019-04-07,49,False
2019-04-14,32,False
2019-04-21,42,False
2019-04-28,33,False
2019-05-05,50,False
2019-05-12,59,False
2019-05-19,45,False
2019-05-26,40,False
2019-06-02,45,False
2019-06-09,69,False
2019-06-16,46,False
2019-06-23,46,False
2019-06-30,58,False
2019-07-07,51,False
2019-07-14,74,False
2019-07-21,44,False
2019-07-28,50,False
2019-08-04,32,False
2019-08-11,55,False
2019-08-18,41,False
2019-08-25,29,False
2019-09-01,70,False
2019-09-08,78,False
2019-09-15,59,False
2019-09-22,44,False
2019-09-29,48,False
2019-10-06,37,False
2019-10-13,57,False
2019-10-20,51,False
2019-10-27,44,False
2019-11-03,48,False
2019-11-10,54,False
2019-11-17,27,False
2019-11-24,52,False
2019-12-01,54,False
2019-12-08,24,False
2019-12-15,60,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,58,False
2020-01-12,78,False
2020-01-19,70,False
2020-01-26,51,False
2020-02-02,51,False
2020-02-09,44,False
2020-02-16,40,False
2020-02-23,39,False
2020-03-01,55,False
2020-03-08,58,False
2020-03-15,26,False
2020-03-22,26,False
2020-03-29,77,False
2020-04-05,51,False
2020-04-12,59,False
2020-04-19,16,False
2020-04-26,31,False
2020-05-03,26,False
2020-05-10,42,False
