geoName,geoCode,Fassadenverkleidung
Baden-Württemberg,DE-BW,35
Bavaria,DE-BY,36
Berlin,DE-BE,19
Brandenburg,DE-BB,59
Bremen,DE-HB,85
Hamburg,DE-HH,24
Hesse,DE-HE,41
Lower Saxony,DE-NI,56
Mecklenburg-Vorpommern,DE-MV,70
North Rhine-Westphalia,DE-NW,44
Rhineland-Palatinate,DE-RP,65
Saarland,DE-SL,95
Saxony,DE-SN,48
Saxony-Anhalt,DE-ST,64
Schleswig-Holstein,DE-SH,52
Thuringia,DE-TH,100
