,geoName,Hochzeitsfriseur
0,Baden-Württemberg,
1,Bavaria,
2,Berlin,
3,Brandenburg,
4,Bremen,
5,Hamburg,
6,Hesse,
7,Lower Saxony,
8,Mecklenburg-Vorpommern,
9,North Rhine-Westphalia,
10,Rhineland-Palatinate,
11,Saarland,
12,Saxony,
13,Saxony-Anhalt,
14,Schleswig-Holstein,
15,Thuringia,
16,Grand-est,
17,Hauts-de-france,
18,Normandie,
19,Bourgogne-Franche-Comté,
20,Nouvelle-Aquitaine,
21,Occitanie,
22,Auvergne-Rhône-Alpes,
