geoName,geoCode,Photovoltaik
Baden-Württemberg,DE-BW,84
Bavaria,DE-BY,100
Berlin,DE-BE,33
Brandenburg,DE-BB,59
Bremen,DE-HB,40
Hamburg,DE-HH,33
Hesse,DE-HE,58
Lower Saxony,DE-NI,65
Mecklenburg-Vorpommern,DE-MV,41
North Rhine-Westphalia,DE-NW,61
Rhineland-Palatinate,DE-RP,80
Saarland,DE-SL,74
Saxony,DE-SN,61
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,50
Thuringia,DE-TH,61
