geoName,geoCode,Photovoltaik
Burgenland,AT-1,93
Carinthia,AT-2,100
Lower Austria,AT-3,64
Salzburg,AT-5,44
Styria,AT-6,66
Tyrol,AT-7,41
Upper Austria,AT-4,53
Vienna,AT-9,35
Vorarlberg,AT-8,33
