date,Photovoltaik,isPartial
2018-01-07,35,False
2018-01-14,48,False
2018-01-21,41,False
2018-01-28,61,False
2018-02-04,37,False
2018-02-11,31,False
2018-02-18,39,False
2018-02-25,43,False
2018-03-04,50,False
2018-03-11,50,False
2018-03-18,50,False
2018-03-25,54,False
2018-04-01,44,False
2018-04-08,37,False
2018-04-15,28,False
2018-04-22,30,False
2018-04-29,74,False
2018-05-06,43,False
2018-05-13,28,False
2018-05-20,52,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,46,False
2018-06-17,23,False
2018-06-24,28,False
2018-07-01,21,False
2018-07-08,46,False
2018-07-15,76,False
2018-07-22,35,False
2018-07-29,52,False
2018-08-05,68,False
2018-08-12,55,False
2018-08-19,21,False
2018-08-26,50,False
2018-09-02,24,False
2018-09-09,28,False
2018-09-16,32,False
2018-09-23,41,False
2018-09-30,100,False
2018-10-07,61,False
2018-10-14,45,False
2018-10-21,29,False
2018-10-28,33,False
2018-11-04,61,False
2018-11-11,52,False
2018-11-18,24,False
2018-11-25,29,False
2018-12-02,36,False
2018-12-09,48,False
2018-12-16,26,False
2018-12-23,16,False
2018-12-30,32,False
2019-01-06,38,False
2019-01-13,73,False
2019-01-20,70,False
2019-01-27,86,False
2019-02-03,36,False
2019-02-10,31,False
2019-02-17,39,False
2019-02-24,42,False
2019-03-03,70,False
2019-03-10,19,False
2019-03-17,39,False
2019-03-24,55,False
2019-03-31,43,False
2019-04-07,63,False
2019-04-14,40,False
2019-04-21,49,False
2019-04-28,93,False
2019-05-05,23,False
2019-05-12,16,False
2019-05-19,31,False
2019-05-26,53,False
2019-06-02,68,False
2019-06-09,36,False
2019-06-16,71,False
2019-06-23,54,False
2019-06-30,24,False
2019-07-07,48,False
2019-07-14,33,False
2019-07-21,38,False
2019-07-28,61,False
2019-08-04,36,False
2019-08-11,59,False
2019-08-18,47,False
2019-08-25,44,False
2019-09-01,58,False
2019-09-08,39,False
2019-09-15,72,False
2019-09-22,72,False
2019-09-29,62,False
2019-10-06,62,False
2019-10-13,27,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,74,False
2019-11-10,48,False
2019-11-17,44,False
2019-11-24,25,False
2019-12-01,71,False
2019-12-08,33,False
2019-12-15,39,False
2019-12-22,37,False
2019-12-29,44,False
2020-01-05,58,False
2020-01-12,67,False
2020-01-19,65,False
2020-01-26,38,False
2020-02-02,40,False
2020-02-09,70,False
2020-02-16,50,False
2020-02-23,44,False
2020-03-01,43,False
2020-03-08,96,False
2020-03-15,27,False
2020-03-22,24,False
2020-03-29,30,False
2020-04-05,49,False
2020-04-12,55,False
2020-04-19,56,False
2020-04-26,30,False
2020-05-03,46,False
2020-05-10,46,False
