date,Photovoltaik,isPartial
2018-01-07,45,False
2018-01-14,34,False
2018-01-21,41,False
2018-01-28,42,False
2018-02-04,46,False
2018-02-11,39,False
2018-02-18,33,False
2018-02-25,40,False
2018-03-04,52,False
2018-03-11,36,False
2018-03-18,25,False
2018-03-25,32,False
2018-04-01,41,False
2018-04-08,46,False
2018-04-15,24,False
2018-04-22,51,False
2018-04-29,43,False
2018-05-06,42,False
2018-05-13,38,False
2018-05-20,51,False
2018-05-27,56,False
2018-06-03,35,False
2018-06-10,37,False
2018-06-17,43,False
2018-06-24,47,False
2018-07-01,53,False
2018-07-08,42,False
2018-07-15,54,False
2018-07-22,70,False
2018-07-29,35,False
2018-08-05,41,False
2018-08-12,41,False
2018-08-19,28,False
2018-08-26,39,False
2018-09-02,43,False
2018-09-09,43,False
2018-09-16,47,False
2018-09-23,33,False
2018-09-30,29,False
2018-10-07,42,False
2018-10-14,46,False
2018-10-21,48,False
2018-10-28,23,False
2018-11-04,58,False
2018-11-11,48,False
2018-11-18,48,False
2018-11-25,44,False
2018-12-02,35,False
2018-12-09,55,False
2018-12-16,45,False
2018-12-23,31,False
2018-12-30,32,False
2019-01-06,42,False
2019-01-13,51,False
2019-01-20,55,False
2019-01-27,57,False
2019-02-03,52,False
2019-02-10,61,False
2019-02-17,71,False
2019-02-24,61,False
2019-03-03,57,False
2019-03-10,45,False
2019-03-17,58,False
2019-03-24,64,False
2019-03-31,65,False
2019-04-07,53,False
2019-04-14,59,False
2019-04-21,67,False
2019-04-28,50,False
2019-05-05,61,False
2019-05-12,52,False
2019-05-19,47,False
2019-05-26,82,False
2019-06-02,58,False
2019-06-09,68,False
2019-06-16,57,False
2019-06-23,72,False
2019-06-30,74,False
2019-07-07,57,False
2019-07-14,47,False
2019-07-21,79,False
2019-07-28,65,False
2019-08-04,66,False
2019-08-11,59,False
2019-08-18,78,False
2019-08-25,73,False
2019-09-01,67,False
2019-09-08,63,False
2019-09-15,86,False
2019-09-22,60,False
2019-09-29,77,False
2019-10-06,59,False
2019-10-13,71,False
2019-10-20,75,False
2019-10-27,78,False
2019-11-03,70,False
2019-11-10,75,False
2019-11-17,69,False
2019-11-24,71,False
2019-12-01,69,False
2019-12-08,67,False
2019-12-15,60,False
2019-12-22,55,False
2019-12-29,89,False
2020-01-05,74,False
2020-01-12,67,False
2020-01-19,83,False
2020-01-26,89,False
2020-02-02,100,False
2020-02-09,87,False
2020-02-16,72,False
2020-02-23,75,False
2020-03-01,75,False
2020-03-08,57,False
2020-03-15,60,False
2020-03-22,66,False
2020-03-29,57,False
2020-04-05,63,False
2020-04-12,81,False
2020-04-19,58,False
2020-04-26,67,False
2020-05-03,79,False
2020-05-10,77,False
