date,Dachsanierung,isPartial
2018-01-07,34,False
2018-01-14,56,False
2018-01-21,61,False
2018-01-28,49,False
2018-02-04,73,False
2018-02-11,43,False
2018-02-18,47,False
2018-02-25,96,False
2018-03-04,79,False
2018-03-11,57,False
2018-03-18,50,False
2018-03-25,45,False
2018-04-01,69,False
2018-04-08,59,False
2018-04-15,42,False
2018-04-22,50,False
2018-04-29,70,False
2018-05-06,32,False
2018-05-13,52,False
2018-05-20,61,False
2018-05-27,33,False
2018-06-03,38,False
2018-06-10,46,False
2018-06-17,44,False
2018-06-24,43,False
2018-07-01,55,False
2018-07-08,47,False
2018-07-15,59,False
2018-07-22,39,False
2018-07-29,47,False
2018-08-05,54,False
2018-08-12,47,False
2018-08-19,39,False
2018-08-26,49,False
2018-09-02,48,False
2018-09-09,48,False
2018-09-16,38,False
2018-09-23,51,False
2018-09-30,28,False
2018-10-07,50,False
2018-10-14,65,False
2018-10-21,54,False
2018-10-28,54,False
2018-11-04,55,False
2018-11-11,51,False
2018-11-18,52,False
2018-11-25,41,False
2018-12-02,39,False
2018-12-09,39,False
2018-12-16,43,False
2018-12-23,37,False
2018-12-30,39,False
2019-01-06,48,False
2019-01-13,64,False
2019-01-20,64,False
2019-01-27,75,False
2019-02-03,81,False
2019-02-10,85,False
2019-02-17,59,False
2019-02-24,82,False
2019-03-03,44,False
2019-03-10,71,False
2019-03-17,80,False
2019-03-24,41,False
2019-03-31,46,False
2019-04-07,52,False
2019-04-14,57,False
2019-04-21,53,False
2019-04-28,44,False
2019-05-05,53,False
2019-05-12,62,False
2019-05-19,80,False
2019-05-26,53,False
2019-06-02,61,False
2019-06-09,51,False
2019-06-16,61,False
2019-06-23,82,False
2019-06-30,69,False
2019-07-07,49,False
2019-07-14,83,False
2019-07-21,49,False
2019-07-28,70,False
2019-08-04,51,False
2019-08-11,58,False
2019-08-18,71,False
2019-08-25,55,False
2019-09-01,56,False
2019-09-08,55,False
2019-09-15,67,False
2019-09-22,48,False
2019-09-29,65,False
2019-10-06,58,False
2019-10-13,55,False
2019-10-20,63,False
2019-10-27,47,False
2019-11-03,65,False
2019-11-10,44,False
2019-11-17,57,False
2019-11-24,50,False
2019-12-01,57,False
2019-12-08,50,False
2019-12-15,50,False
2019-12-22,46,False
2019-12-29,55,False
2020-01-05,61,False
2020-01-12,84,False
2020-01-19,55,False
2020-01-26,65,False
2020-02-02,92,False
2020-02-09,86,False
2020-02-16,91,False
2020-02-23,56,False
2020-03-01,100,False
2020-03-08,64,False
2020-03-15,36,False
2020-03-22,58,False
2020-03-29,47,False
2020-04-05,56,False
2020-04-12,63,False
2020-04-19,60,False
2020-04-26,64,False
2020-05-03,65,False
2020-05-10,65,False
