geoName,geoCode,Dachsanierung
Baden-Württemberg,DE-BW,64
Bavaria,DE-BY,37
Berlin,DE-BE,10
Brandenburg,DE-BB,45
Bremen,DE-HB,59
Hamburg,DE-HH,37
Hesse,DE-HE,37
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,59
North Rhine-Westphalia,DE-NW,47
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,57
Saxony,DE-SN,28
Saxony-Anhalt,DE-ST,25
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,31
