date,Fäkalientank,isPartial
2018-01-07,25,False
2018-01-14,37,False
2018-01-21,33,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,42,False
2018-02-25,0,False
2018-03-04,50,False
2018-03-11,49,False
2018-03-18,33,False
2018-03-25,44,False
2018-04-01,62,False
2018-04-08,43,False
2018-04-15,52,False
2018-04-22,50,False
2018-04-29,52,False
2018-05-06,53,False
2018-05-13,63,False
2018-05-20,36,False
2018-05-27,77,False
2018-06-03,68,False
2018-06-10,73,False
2018-06-17,25,False
2018-06-24,59,False
2018-07-01,100,False
2018-07-08,25,False
2018-07-15,52,False
2018-07-22,43,False
2018-07-29,61,False
2018-08-05,69,False
2018-08-12,39,False
2018-08-19,39,False
2018-08-26,51,False
2018-09-02,51,False
2018-09-09,38,False
2018-09-16,63,False
2018-09-23,25,False
2018-09-30,76,False
2018-10-07,50,False
2018-10-14,38,False
2018-10-21,49,False
2018-10-28,37,False
2018-11-04,24,False
2018-11-11,37,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,41,False
2018-12-16,25,False
2018-12-23,58,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,34,False
2019-02-03,47,False
2019-02-10,71,False
2019-02-17,24,False
2019-02-24,81,False
2019-03-03,47,False
2019-03-10,39,False
2019-03-17,40,False
2019-03-24,48,False
2019-03-31,57,False
2019-04-07,71,False
2019-04-14,39,False
2019-04-21,38,False
2019-04-28,47,False
2019-05-05,35,False
2019-05-12,32,False
2019-05-19,82,False
2019-05-26,61,False
2019-06-02,79,False
2019-06-09,49,False
2019-06-16,73,False
2019-06-23,89,False
2019-06-30,64,False
2019-07-07,48,False
2019-07-14,25,False
2019-07-21,60,False
2019-07-28,76,False
2019-08-04,89,False
2019-08-11,80,False
2019-08-18,33,False
2019-08-25,24,False
2019-09-01,47,False
2019-09-08,48,False
2019-09-15,48,False
2019-09-22,62,False
2019-09-29,23,False
2019-10-06,35,False
2019-10-13,34,False
2019-10-20,68,False
2019-10-27,22,False
2019-11-03,54,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,43,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,29,False
2020-01-12,31,False
2020-01-19,21,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,27,False
2020-02-16,85,False
2020-02-23,41,False
2020-03-01,41,False
2020-03-08,39,False
2020-03-15,32,False
2020-03-22,25,False
2020-03-29,28,False
2020-04-05,41,False
2020-04-12,40,False
2020-04-19,83,False
2020-04-26,37,False
2020-05-03,51,False
2020-05-10,77,False
