,geoName,psychologue enfants
3,Brittany,64.0
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,100.0
18,Provence-Alpes-Côte d'Azur,43.0
21,Île-de-France,41.0
22,Grand-est,0.0
23,Hauts-de-france,40.0
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,7.0
27,Occitanie,25.5
28,Auvergne-Rhône-Alpes,29.5
