geoName,geoCode,Video matrimonio
Abruzzo,IT-65,16
Aosta,IT-23,0
Apulia,IT-75,54
Basilicata,IT-77,100
Calabria,IT-78,41
Campania,IT-72,41
Emilia-Romagna,IT-45,37
Friuli-Venezia Giulia,IT-36,70
Lazio,IT-62,35
Liguria,IT-42,12
Lombardy,IT-25,28
Marche,IT-57,25
Molise,IT-67,84
Piedmont,IT-21,27
Sardinia,IT-88,33
Sicily,IT-82,49
Trentino-Alto Adige/South Tyrol,IT-32,36
Tuscany,IT-52,29
Umbria,IT-55,48
Veneto,IT-34,45
