date,sartoria italiana,isPartial
2018-01-07,24,False
2018-01-14,18,False
2018-01-21,30,False
2018-01-28,59,False
2018-02-04,12,False
2018-02-11,30,False
2018-02-18,17,False
2018-02-25,23,False
2018-03-04,12,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,68,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,55,False
2018-04-22,19,False
2018-04-29,66,False
2018-05-06,59,False
2018-05-13,30,False
2018-05-20,30,False
2018-05-27,36,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,42,False
2018-06-24,36,False
2018-07-01,35,False
2018-07-08,24,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,43,False
2018-08-05,39,False
2018-08-12,40,False
2018-08-19,26,False
2018-08-26,18,False
2018-09-02,70,False
2018-09-09,29,False
2018-09-16,29,False
2018-09-23,53,False
2018-09-30,23,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,12,False
2018-11-04,51,False
2018-11-11,42,False
2018-11-18,35,False
2018-11-25,12,False
2018-12-02,30,False
2018-12-09,54,False
2018-12-16,75,False
2018-12-23,28,False
2018-12-30,58,False
2019-01-06,42,False
2019-01-13,12,False
2019-01-20,22,False
2019-01-27,33,False
2019-02-03,39,False
2019-02-10,40,False
2019-02-17,17,False
2019-02-24,63,False
2019-03-03,48,False
2019-03-10,47,False
2019-03-17,36,False
2019-03-24,24,False
2019-03-31,47,False
2019-04-07,46,False
2019-04-14,12,False
2019-04-21,63,False
2019-04-28,100,False
2019-05-05,45,False
2019-05-12,28,False
2019-05-19,62,False
2019-05-26,71,False
2019-06-02,59,False
2019-06-09,18,False
2019-06-16,47,False
2019-06-23,48,False
2019-06-30,36,False
2019-07-07,57,False
2019-07-14,36,False
2019-07-21,30,False
2019-07-28,37,False
2019-08-04,32,False
2019-08-11,27,False
2019-08-18,12,False
2019-08-25,23,False
2019-09-01,48,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,43,False
2019-09-29,33,False
2019-10-06,39,False
2019-10-13,33,False
2019-10-20,32,False
2019-10-27,43,False
2019-11-03,31,False
2019-11-10,48,False
2019-11-17,80,False
2019-11-24,42,False
2019-12-01,83,False
2019-12-08,61,False
2019-12-15,50,False
2019-12-22,51,False
2019-12-29,49,False
2020-01-05,71,False
2020-01-12,36,False
2020-01-19,46,False
2020-01-26,20,False
2020-02-02,45,False
2020-02-09,52,False
2020-02-16,21,False
2020-02-23,15,False
2020-03-01,53,False
2020-03-08,33,False
2020-03-15,28,False
2020-03-22,13,False
2020-03-29,36,False
2020-04-05,56,False
2020-04-12,33,False
2020-04-19,27,False
2020-04-26,47,True
