date,Marmorplatte,isPartial
2018-01-07,52,False
2018-01-14,44,False
2018-01-21,61,False
2018-01-28,44,False
2018-02-04,45,False
2018-02-11,42,False
2018-02-18,39,False
2018-02-25,14,False
2018-03-04,50,False
2018-03-11,58,False
2018-03-18,53,False
2018-03-25,53,False
2018-04-01,27,False
2018-04-08,20,False
2018-04-15,29,False
2018-04-22,45,False
2018-04-29,35,False
2018-05-06,27,False
2018-05-13,36,False
2018-05-20,24,False
2018-05-27,35,False
2018-06-03,37,False
2018-06-10,27,False
2018-06-17,36,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,25,False
2018-07-15,67,False
2018-07-22,78,False
2018-07-29,32,False
2018-08-05,37,False
2018-08-12,38,False
2018-08-19,35,False
2018-08-26,52,False
2018-09-02,26,False
2018-09-09,31,False
2018-09-16,25,False
2018-09-23,38,False
2018-09-30,25,False
2018-10-07,42,False
2018-10-14,37,False
2018-10-21,44,False
2018-10-28,41,False
2018-11-04,40,False
2018-11-11,36,False
2018-11-18,58,False
2018-11-25,30,False
2018-12-02,57,False
2018-12-09,30,False
2018-12-16,42,False
2018-12-23,23,False
2018-12-30,52,False
2019-01-06,31,False
2019-01-13,41,False
2019-01-20,41,False
2019-01-27,49,False
2019-02-03,39,False
2019-02-10,53,False
2019-02-17,61,False
2019-02-24,33,False
2019-03-03,44,False
2019-03-10,60,False
2019-03-17,41,False
2019-03-24,54,False
2019-03-31,35,False
2019-04-07,61,False
2019-04-14,29,False
2019-04-21,14,False
2019-04-28,45,False
2019-05-05,34,False
2019-05-12,46,False
2019-05-19,42,False
2019-05-26,41,False
2019-06-02,40,False
2019-06-09,52,False
2019-06-16,46,False
2019-06-23,33,False
2019-06-30,46,False
2019-07-07,58,False
2019-07-14,30,False
2019-07-21,46,False
2019-07-28,20,False
2019-08-04,74,False
2019-08-11,38,False
2019-08-18,44,False
2019-08-25,56,False
2019-09-01,55,False
2019-09-08,48,False
2019-09-15,32,False
2019-09-22,57,False
2019-09-29,31,False
2019-10-06,47,False
2019-10-13,28,False
2019-10-20,69,False
2019-10-27,50,False
2019-11-03,48,False
2019-11-10,42,False
2019-11-17,54,False
2019-11-24,51,False
2019-12-01,62,False
2019-12-08,45,False
2019-12-15,30,False
2019-12-22,69,False
2019-12-29,51,False
2020-01-05,55,False
2020-01-12,46,False
2020-01-19,43,False
2020-01-26,51,False
2020-02-02,52,False
2020-02-09,55,False
2020-02-16,72,False
2020-02-23,56,False
2020-03-01,53,False
2020-03-08,43,False
2020-03-15,49,False
2020-03-22,44,False
2020-03-29,50,False
2020-04-05,53,False
2020-04-12,100,False
2020-04-19,75,False
2020-04-26,84,False
2020-05-03,77,False
2020-05-10,62,False
