geoName,geoCode,Marmorplatte
Baden-Württemberg,DE-BW,77
Bavaria,DE-BY,71
Berlin,DE-BE,66
Brandenburg,DE-BB,50
Bremen,DE-HB,0
Hamburg,DE-HH,82
Hesse,DE-HE,77
Lower Saxony,DE-NI,86
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,47
Saarland,DE-SL,0
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,62
Schleswig-Holstein,DE-SH,74
Thuringia,DE-TH,0
