date,déco fleur,isPartial
2018-01-07,20,False
2018-01-14,48,False
2018-01-21,77,False
2018-01-28,20,False
2018-02-04,29,False
2018-02-11,39,False
2018-02-18,81,False
2018-02-25,59,False
2018-03-04,49,False
2018-03-11,49,False
2018-03-18,40,False
2018-03-25,59,False
2018-04-01,61,False
2018-04-08,69,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,30,False
2018-05-06,31,False
2018-05-13,59,False
2018-05-20,20,False
2018-05-27,59,False
2018-06-03,0,False
2018-06-10,57,False
2018-06-17,50,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,31,False
2018-07-15,21,False
2018-07-22,32,False
2018-07-29,43,False
2018-08-05,43,False
2018-08-12,22,False
2018-08-19,32,False
2018-08-26,41,False
2018-09-02,41,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,40,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,61,False
2018-11-04,39,False
2018-11-11,39,False
2018-11-18,39,False
2018-11-25,20,False
2018-12-02,49,False
2018-12-09,30,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,20,False
2019-01-13,20,False
2019-01-20,37,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,69,False
2019-02-17,20,False
2019-02-24,100,False
2019-03-03,39,False
2019-03-10,78,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,81,False
2019-04-14,21,False
2019-04-21,40,False
2019-04-28,39,False
2019-05-05,29,False
2019-05-12,49,False
2019-05-19,58,False
2019-05-26,30,False
2019-06-02,55,False
2019-06-09,38,False
2019-06-16,20,False
2019-06-23,19,False
2019-06-30,39,False
2019-07-07,39,False
2019-07-14,20,False
2019-07-21,31,False
2019-07-28,52,False
2019-08-04,63,False
2019-08-11,62,False
2019-08-18,62,False
2019-08-25,19,False
2019-09-01,28,False
2019-09-08,57,False
2019-09-15,65,False
2019-09-22,27,False
2019-09-29,36,False
2019-10-06,37,False
2019-10-13,27,False
2019-10-20,37,False
2019-10-27,36,False
2019-11-03,18,False
2019-11-10,63,False
2019-11-17,27,False
2019-11-24,34,False
2019-12-01,26,False
2019-12-08,35,False
2019-12-15,18,False
2019-12-22,20,False
2019-12-29,19,False
2020-01-05,43,False
2020-01-12,25,False
2020-01-19,17,False
2020-01-26,43,False
2020-02-02,34,False
2020-02-09,51,False
2020-02-16,52,False
2020-02-23,83,False
2020-03-01,24,False
2020-03-08,49,False
2020-03-15,31,False
2020-03-22,68,False
2020-03-29,38,False
2020-04-05,38,False
2020-04-12,36,True
