date,matrimoni,isPartial
2018-01-07,71,False
2018-01-14,64,False
2018-01-21,73,False
2018-01-28,65,False
2018-02-04,60,False
2018-02-11,53,False
2018-02-18,61,False
2018-02-25,54,False
2018-03-04,56,False
2018-03-11,61,False
2018-03-18,53,False
2018-03-25,48,False
2018-04-01,63,False
2018-04-08,67,False
2018-04-15,57,False
2018-04-22,67,False
2018-04-29,66,False
2018-05-06,68,False
2018-05-13,84,False
2018-05-20,91,False
2018-05-27,78,False
2018-06-03,79,False
2018-06-10,85,False
2018-06-17,82,False
2018-06-24,72,False
2018-07-01,69,False
2018-07-08,80,False
2018-07-15,68,False
2018-07-22,69,False
2018-07-29,65,False
2018-08-05,55,False
2018-08-12,50,False
2018-08-19,70,False
2018-08-26,86,False
2018-09-02,100,False
2018-09-09,84,False
2018-09-16,75,False
2018-09-23,67,False
2018-09-30,64,False
2018-10-07,60,False
2018-10-14,69,False
2018-10-21,48,False
2018-10-28,50,False
2018-11-04,45,False
2018-11-11,45,False
2018-11-18,37,False
2018-11-25,36,False
2018-12-02,37,False
2018-12-09,46,False
2018-12-16,36,False
2018-12-23,49,False
2018-12-30,58,False
2019-01-06,56,False
2019-01-13,65,False
2019-01-20,54,False
2019-01-27,48,False
2019-02-03,56,False
2019-02-10,69,False
2019-02-17,56,False
2019-02-24,62,False
2019-03-03,51,False
2019-03-10,54,False
2019-03-17,58,False
2019-03-24,53,False
2019-03-31,57,False
2019-04-07,55,False
2019-04-14,39,False
2019-04-21,56,False
2019-04-28,62,False
2019-05-05,58,False
2019-05-12,72,False
2019-05-19,74,False
2019-05-26,60,False
2019-06-02,66,False
2019-06-09,70,False
2019-06-16,70,False
2019-06-23,71,False
2019-06-30,68,False
2019-07-07,65,False
2019-07-14,59,False
2019-07-21,62,False
2019-07-28,71,False
2019-08-04,61,False
2019-08-11,63,False
2019-08-18,78,False
2019-08-25,95,False
2019-09-01,91,False
2019-09-08,79,False
2019-09-15,73,False
2019-09-22,79,False
2019-09-29,67,False
2019-10-06,51,False
2019-10-13,54,False
2019-10-20,53,False
2019-10-27,50,False
2019-11-03,34,False
2019-11-10,37,False
2019-11-17,38,False
2019-11-24,34,False
2019-12-01,35,False
2019-12-08,30,False
2019-12-15,28,False
2019-12-22,52,False
2019-12-29,51,False
2020-01-05,55,False
2020-01-12,55,False
2020-01-19,47,False
2020-01-26,51,False
2020-02-02,48,False
2020-02-09,41,False
2020-02-16,50,False
2020-02-23,37,False
2020-03-01,53,False
2020-03-08,45,False
2020-03-15,32,False
2020-03-22,49,False
2020-03-29,43,False
2020-04-05,42,False
2020-04-12,64,False
2020-04-19,62,False
2020-04-26,64,True
