geoName,geoCode,matrimoni
Abruzzo,IT-65,63
Aosta,IT-23,0
Apulia,IT-75,70
Basilicata,IT-77,100
Calabria,IT-78,92
Campania,IT-72,76
Emilia-Romagna,IT-45,60
Friuli-Venezia Giulia,IT-36,47
Lazio,IT-62,77
Liguria,IT-42,60
Lombardy,IT-25,60
Marche,IT-57,46
Molise,IT-67,97
Piedmont,IT-21,55
Sardinia,IT-88,49
Sicily,IT-82,88
Trentino-Alto Adige/South Tyrol,IT-32,31
Tuscany,IT-52,63
Umbria,IT-55,45
Veneto,IT-34,49
