date,Wohnung renovieren,isPartial
2018-01-07,76,False
2018-01-14,95,False
2018-01-21,49,False
2018-01-28,64,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,43,False
2018-02-25,64,False
2018-03-04,65,False
2018-03-11,32,False
2018-03-18,65,False
2018-03-25,69,False
2018-04-01,52,False
2018-04-08,49,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,45,False
2018-05-06,0,False
2018-05-13,65,False
2018-05-20,86,False
2018-05-27,32,False
2018-06-03,65,False
2018-06-10,31,False
2018-06-17,63,False
2018-06-24,49,False
2018-07-01,43,False
2018-07-08,31,False
2018-07-15,67,False
2018-07-22,34,False
2018-07-29,46,False
2018-08-05,46,False
2018-08-12,85,False
2018-08-19,33,False
2018-08-26,44,False
2018-09-02,33,False
2018-09-09,66,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,50,False
2018-10-07,50,False
2018-10-14,67,False
2018-10-21,100,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,52,False
2018-12-02,47,False
2018-12-09,47,False
2018-12-16,65,False
2018-12-23,92,False
2018-12-30,67,False
2019-01-06,91,False
2019-01-13,50,False
2019-01-20,74,False
2019-01-27,30,False
2019-02-03,45,False
2019-02-10,30,False
2019-02-17,41,False
2019-02-24,94,False
2019-03-03,61,False
2019-03-10,0,False
2019-03-17,63,False
2019-03-24,78,False
2019-03-31,61,False
2019-04-07,42,False
2019-04-14,34,False
2019-04-21,66,False
2019-04-28,94,False
2019-05-05,50,False
2019-05-12,63,False
2019-05-19,61,False
2019-05-26,32,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,63,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,32,False
2019-07-21,35,False
2019-07-28,34,False
2019-08-04,57,False
2019-08-11,43,False
2019-08-18,64,False
2019-08-25,41,False
2019-09-01,61,False
2019-09-08,62,False
2019-09-15,31,False
2019-09-22,45,False
2019-09-29,61,False
2019-10-06,30,False
2019-10-13,71,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,28,False
2019-11-10,67,False
2019-11-17,99,False
2019-11-24,28,False
2019-12-01,38,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,66,False
2019-12-29,32,False
2020-01-05,37,False
2020-01-12,27,False
2020-01-19,74,False
2020-01-26,41,False
2020-02-02,36,False
2020-02-09,27,False
2020-02-16,55,False
2020-02-23,26,False
2020-03-01,40,False
2020-03-08,50,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,24,False
2020-04-05,36,False
2020-04-12,60,False
2020-04-19,25,False
2020-04-26,61,False
2020-05-03,37,False
2020-05-10,42,False
