geoName,geoCode,villa ristorante
Abruzzo,IT-65,93
Aosta,IT-23,0
Apulia,IT-75,44
Basilicata,IT-77,47
Calabria,IT-78,37
Campania,IT-72,83
Emilia-Romagna,IT-45,57
Friuli-Venezia Giulia,IT-36,42
Lazio,IT-62,54
Liguria,IT-42,29
Lombardy,IT-25,62
Marche,IT-57,100
Molise,IT-67,0
Piedmont,IT-21,51
Sardinia,IT-88,38
Sicily,IT-82,37
Trentino-Alto Adige/South Tyrol,IT-32,72
Tuscany,IT-52,68
Umbria,IT-55,64
Veneto,IT-34,61
