geoName,geoCode,sposa
Abruzzo,IT-65,78
Aosta,IT-23,69
Apulia,IT-75,89
Basilicata,IT-77,100
Calabria,IT-78,88
Campania,IT-72,85
Emilia-Romagna,IT-45,63
Friuli-Venezia Giulia,IT-36,62
Lazio,IT-62,73
Liguria,IT-42,67
Lombardy,IT-25,69
Marche,IT-57,59
Molise,IT-67,94
Piedmont,IT-21,70
Sardinia,IT-88,74
Sicily,IT-82,89
Trentino-Alto Adige/South Tyrol,IT-32,36
Tuscany,IT-52,73
Umbria,IT-55,62
Veneto,IT-34,70
