geoName,geoCode,Punto Croce
Abruzzo,IT-65,54
Aosta,IT-23,35
Apulia,IT-75,64
Basilicata,IT-77,91
Calabria,IT-78,100
Campania,IT-72,62
Emilia-Romagna,IT-45,28
Friuli-Venezia Giulia,IT-36,39
Lazio,IT-62,33
Liguria,IT-42,43
Lombardy,IT-25,43
Marche,IT-57,41
Molise,IT-67,49
Piedmont,IT-21,51
Sardinia,IT-88,38
Sicily,IT-82,81
Trentino-Alto Adige/South Tyrol,IT-32,27
Tuscany,IT-52,41
Umbria,IT-55,38
Veneto,IT-34,48
