geoName,geoCode,Elektriker
Burgenland,AT-1,30
Carinthia,AT-2,47
Lower Austria,AT-3,39
Salzburg,AT-5,20
Styria,AT-6,30
Tyrol,AT-7,23
Upper Austria,AT-4,31
Vienna,AT-9,100
Vorarlberg,AT-8,29
