geoName,geoCode,Schlüssel verloren
Baden-Württemberg,DE-BW,64
Bavaria,DE-BY,82
Berlin,DE-BE,83
Brandenburg,DE-BB,51
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,71
Lower Saxony,DE-NI,78
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,91
Rhineland-Palatinate,DE-RP,75
Saarland,DE-SL,0
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,68
Thuringia,DE-TH,0
