geoName,geoCode,bauen
Aargau,CH-AG,64
Appenzell Innerrhoden,CH-AI,46
Appenzell Outer Rhodes,CH-AR,71
Basel-Landschaft,CH-BL,72
Basel-Stadt,CH-BS,51
Canton of Bern,CH-BE,61
Canton of Fribourg,CH-FR,21
Canton of Glarus,CH-GL,58
Canton of Jura,CH-JU,33
Canton of Neuchâtel,CH-NE,4
Canton of Obwalden,CH-OW,100
Canton of Schaffhausen,CH-SH,80
Canton of Schwyz,CH-SZ,62
Canton of Solothurn,CH-SO,65
Canton of Uri,CH-UR,86
Canton of Zug,CH-ZG,50
Geneva,CH-GE,4
Grisons,CH-GR,46
Lucerne,CH-LU,70
Nidwalden,CH-NW,88
St. Gallen,CH-SG,70
Thurgau,CH-TG,70
Ticino,CH-TI,4
Valais,CH-VS,20
Vaud,CH-VD,10
Zurich,CH-ZH,48
