geoName,geoCode,Erdarbeiten
Baden-Württemberg,DE-BW,69
Bavaria,DE-BY,74
Berlin,DE-BE,27
Brandenburg,DE-BB,44
Bremen,DE-HB,0
Hamburg,DE-HH,34
Hesse,DE-HE,66
Lower Saxony,DE-NI,95
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,63
Rhineland-Palatinate,DE-RP,46
Saarland,DE-SL,100
Saxony,DE-SN,48
Saxony-Anhalt,DE-ST,45
Schleswig-Holstein,DE-SH,43
Thuringia,DE-TH,41
