geoName,geoCode,Bungalow
Baden-Württemberg,DE-BW,28
Bavaria,DE-BY,33
Berlin,DE-BE,49
Brandenburg,DE-BB,96
Bremen,DE-HB,36
Hamburg,DE-HH,28
Hesse,DE-HE,27
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,68
North Rhine-Westphalia,DE-NW,37
Rhineland-Palatinate,DE-RP,37
Saarland,DE-SL,41
Saxony,DE-SN,80
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,40
Thuringia,DE-TH,90
