date,bomboniere matrimonio,isPartial
2018-01-07,50,False
2018-01-14,66,False
2018-01-21,100,False
2018-01-28,62,False
2018-02-04,74,False
2018-02-11,92,False
2018-02-18,55,False
2018-02-25,55,False
2018-03-04,33,False
2018-03-11,58,False
2018-03-18,42,False
2018-03-25,62,False
2018-04-01,46,False
2018-04-08,59,False
2018-04-15,43,False
2018-04-22,31,False
2018-04-29,35,False
2018-05-06,38,False
2018-05-13,46,False
2018-05-20,42,False
2018-05-27,25,False
2018-06-03,43,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,62,False
2018-07-01,17,False
2018-07-08,44,False
2018-07-15,58,False
2018-07-22,50,False
2018-07-29,28,False
2018-08-05,31,False
2018-08-12,29,False
2018-08-19,17,False
2018-08-26,50,False
2018-09-02,79,False
2018-09-09,70,False
2018-09-16,49,False
2018-09-23,74,False
2018-09-30,41,False
2018-10-07,54,False
2018-10-14,38,False
2018-10-21,45,False
2018-10-28,57,False
2018-11-04,16,False
2018-11-11,20,False
2018-11-18,16,False
2018-11-25,37,False
2018-12-02,21,False
2018-12-09,24,False
2018-12-16,17,False
2018-12-23,15,False
2018-12-30,24,False
2019-01-06,38,False
2019-01-13,48,False
2019-01-20,75,False
2019-01-27,59,False
2019-02-03,76,False
2019-02-10,40,False
2019-02-17,77,False
2019-02-24,33,False
2019-03-03,54,False
2019-03-10,37,False
2019-03-17,42,False
2019-03-24,60,False
2019-03-31,30,False
2019-04-07,54,False
2019-04-14,26,False
2019-04-21,42,False
2019-04-28,47,False
2019-05-05,37,False
2019-05-12,53,False
2019-05-19,24,False
2019-05-26,35,False
2019-06-02,34,False
2019-06-09,33,False
2019-06-16,17,False
2019-06-23,30,False
2019-06-30,13,False
2019-07-07,50,False
2019-07-14,44,False
2019-07-21,41,False
2019-07-28,65,False
2019-08-04,35,False
2019-08-11,28,False
2019-08-18,42,False
2019-08-25,55,False
2019-09-01,80,False
2019-09-08,48,False
2019-09-15,23,False
2019-09-22,43,False
2019-09-29,35,False
2019-10-06,31,False
2019-10-13,39,False
2019-10-20,30,False
2019-10-27,34,False
2019-11-03,44,False
2019-11-10,19,False
2019-11-17,33,False
2019-11-24,26,False
2019-12-01,15,False
2019-12-08,16,False
2019-12-15,23,False
2019-12-22,23,False
2019-12-29,41,False
2020-01-05,58,False
2020-01-12,46,False
2020-01-19,92,False
2020-01-26,42,False
2020-02-02,56,False
2020-02-09,51,False
2020-02-16,57,False
2020-02-23,44,False
2020-03-01,31,False
2020-03-08,7,False
2020-03-15,17,False
2020-03-22,20,False
2020-03-29,13,False
2020-04-05,7,False
2020-04-12,0,False
2020-04-19,13,False
2020-04-26,11,True
