geoName,geoCode,bomboniere matrimonio
Abruzzo,IT-65,45
Aosta,IT-23,0
Apulia,IT-75,51
Basilicata,IT-77,68
Calabria,IT-78,100
Campania,IT-72,68
Emilia-Romagna,IT-45,35
Friuli-Venezia Giulia,IT-36,38
Lazio,IT-62,46
Liguria,IT-42,26
Lombardy,IT-25,33
Marche,IT-57,35
Molise,IT-67,0
Piedmont,IT-21,40
Sardinia,IT-88,27
Sicily,IT-82,76
Trentino-Alto Adige/South Tyrol,IT-32,74
Tuscany,IT-52,39
Umbria,IT-55,25
Veneto,IT-34,35
