geoName,geoCode,Natursteinfliesen
Baden-Württemberg,DE-BW,23
Bavaria,DE-BY,39
Berlin,DE-BE,43
Brandenburg,DE-BB,0
Bremen,DE-HB,100
Hamburg,DE-HH,63
Hesse,DE-HE,24
Lower Saxony,DE-NI,24
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,38
Rhineland-Palatinate,DE-RP,45
Saarland,DE-SL,0
Saxony,DE-SN,38
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,25
Thuringia,DE-TH,0
