geoName,geoCode,mudanzas
Andalusia,ES-AN,50
Aragon,ES-AR,46
Asturias,ES-AS,41
Balearic Islands,ES-IB,40
Basque Country,ES-PV,52
Canary Islands,ES-CN,39
Cantabria,ES-CB,48
Castile and León,ES-CL,49
Castile-La Mancha,ES-CM,42
Catalonia,ES-CT,60
Ceuta,ES-CE,0
Community of Madrid,ES-MD,100
Extremadura,ES-EX,37
Galicia,ES-GA,52
La Rioja,ES-RI,32
Melilla,ES-ML,0
Navarre,ES-NC,41
Region of Murcia,ES-MC,48
Valencian Community,ES-VC,51
