geoName,geoCode,Lebensmittel Lieferservice
Baden-Württemberg,DE-BW,49
Bavaria,DE-BY,49
Berlin,DE-BE,100
Brandenburg,DE-BB,56
Bremen,DE-HB,75
Hamburg,DE-HH,76
Hesse,DE-HE,50
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,51
North Rhine-Westphalia,DE-NW,59
Rhineland-Palatinate,DE-RP,45
Saarland,DE-SL,62
Saxony,DE-SN,42
Saxony-Anhalt,DE-ST,44
Schleswig-Holstein,DE-SH,64
Thuringia,DE-TH,35
