geoName,geoCode,ramos de rosas
Andalusia,ES-AN,59
Aragon,ES-AR,34
Asturias,ES-AS,41
Balearic Islands,ES-IB,43
Basque Country,ES-PV,45
Canary Islands,ES-CN,82
Cantabria,ES-CB,0
Castile and León,ES-CL,72
Castile-La Mancha,ES-CM,83
Catalonia,ES-CT,47
Ceuta,ES-CE,0
Community of Madrid,ES-MD,35
Extremadura,ES-EX,49
Galicia,ES-GA,100
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,0
Region of Murcia,ES-MC,50
Valencian Community,ES-VC,53
