,geoName,plan jardin
3,Brittany,94.0
5,Centre-Val de Loire,100.0
7,Corsica,0.0
15,Pays de la Loire,98.0
18,Provence-Alpes-Côte d'Azur,75.0
21,Île-de-France,38.0
22,Grand-est,75.0
23,Hauts-de-france,79.5
24,Normandie,67.5
25,Bourgogne-Franche-Comté,83.0
26,Nouvelle-Aquitaine,74.33333333333333
27,Occitanie,74.0
28,Auvergne-Rhône-Alpes,71.5
