geoName,geoCode,festa di compleanno
Abruzzo,IT-65,13
Aosta,IT-23,0
Apulia,IT-75,96
Basilicata,IT-77,100
Calabria,IT-78,72
Campania,IT-72,55
Emilia-Romagna,IT-45,38
Friuli-Venezia Giulia,IT-36,63
Lazio,IT-62,63
Liguria,IT-42,40
Lombardy,IT-25,49
Marche,IT-57,26
Molise,IT-67,0
Piedmont,IT-21,47
Sardinia,IT-88,37
Sicily,IT-82,48
Trentino-Alto Adige/South Tyrol,IT-32,29
Tuscany,IT-52,41
Umbria,IT-55,58
Veneto,IT-34,42
