date,festa di compleanno,isPartial
2018-01-07,34,False
2018-01-14,74,False
2018-01-21,72,False
2018-01-28,78,False
2018-02-04,51,False
2018-02-11,74,False
2018-02-18,30,False
2018-02-25,23,False
2018-03-04,82,False
2018-03-11,53,False
2018-03-18,42,False
2018-03-25,26,False
2018-04-01,40,False
2018-04-08,42,False
2018-04-15,49,False
2018-04-22,52,False
2018-04-29,43,False
2018-05-06,53,False
2018-05-13,24,False
2018-05-20,78,False
2018-05-27,49,False
2018-06-03,13,False
2018-06-10,77,False
2018-06-17,58,False
2018-06-24,25,False
2018-07-01,43,False
2018-07-08,56,False
2018-07-15,44,False
2018-07-22,89,False
2018-07-29,45,False
2018-08-05,27,False
2018-08-12,48,False
2018-08-19,50,False
2018-08-26,79,False
2018-09-02,67,False
2018-09-09,48,False
2018-09-16,63,False
2018-09-23,53,False
2018-09-30,71,False
2018-10-07,66,False
2018-10-14,96,False
2018-10-21,53,False
2018-10-28,47,False
2018-11-04,33,False
2018-11-11,47,False
2018-11-18,47,False
2018-11-25,42,False
2018-12-02,60,False
2018-12-09,31,False
2018-12-16,26,False
2018-12-23,32,False
2018-12-30,34,False
2019-01-06,54,False
2019-01-13,58,False
2019-01-20,37,False
2019-01-27,33,False
2019-02-03,58,False
2019-02-10,78,False
2019-02-17,33,False
2019-02-24,46,False
2019-03-03,27,False
2019-03-10,40,False
2019-03-17,55,False
2019-03-24,40,False
2019-03-31,39,False
2019-04-07,62,False
2019-04-14,45,False
2019-04-21,45,False
2019-04-28,96,False
2019-05-05,76,False
2019-05-12,38,False
2019-05-19,57,False
2019-05-26,37,False
2019-06-02,45,False
2019-06-09,39,False
2019-06-16,75,False
2019-06-23,41,False
2019-06-30,56,False
2019-07-07,32,False
2019-07-14,14,False
2019-07-21,14,False
2019-07-28,59,False
2019-08-04,32,False
2019-08-11,35,False
2019-08-18,65,False
2019-08-25,100,False
2019-09-01,62,False
2019-09-08,39,False
2019-09-15,50,False
2019-09-22,81,False
2019-09-29,38,False
2019-10-06,13,False
2019-10-13,51,False
2019-10-20,56,False
2019-10-27,25,False
2019-11-03,79,False
2019-11-10,55,False
2019-11-17,62,False
2019-11-24,37,False
2019-12-01,32,False
2019-12-08,25,False
2019-12-15,52,False
2019-12-22,0,False
2019-12-29,37,False
2020-01-05,38,False
2020-01-12,41,False
2020-01-19,60,False
2020-01-26,35,False
2020-02-02,18,False
2020-02-09,60,False
2020-02-16,18,False
2020-02-23,34,False
2020-03-01,29,False
2020-03-08,23,False
2020-03-15,23,False
2020-03-22,32,False
2020-03-29,22,False
2020-04-05,29,False
2020-04-12,29,False
2020-04-19,11,False
2020-04-26,19,True
