date,reparation store,isPartial
2018-01-07,37,False
2018-01-14,27,False
2018-01-21,41,False
2018-01-28,50,False
2018-02-04,41,False
2018-02-11,32,False
2018-02-18,52,False
2018-02-25,42,False
2018-03-04,51,False
2018-03-11,28,False
2018-03-18,32,False
2018-03-25,42,False
2018-04-01,29,False
2018-04-08,51,False
2018-04-15,38,False
2018-04-22,38,False
2018-04-29,28,False
2018-05-06,54,False
2018-05-13,47,False
2018-05-20,38,False
2018-05-27,32,False
2018-06-03,60,False
2018-06-10,44,False
2018-06-17,42,False
2018-06-24,23,False
2018-07-01,82,False
2018-07-08,67,False
2018-07-15,100,False
2018-07-22,76,False
2018-07-29,71,False
2018-08-05,82,False
2018-08-12,52,False
2018-08-19,66,False
2018-08-26,58,False
2018-09-02,67,False
2018-09-09,47,False
2018-09-16,42,False
2018-09-23,38,False
2018-09-30,52,False
2018-10-07,52,False
2018-10-14,52,False
2018-10-21,72,False
2018-10-28,72,False
2018-11-04,60,False
2018-11-11,18,False
2018-11-18,36,False
2018-11-25,32,False
2018-12-02,37,False
2018-12-09,47,False
2018-12-16,33,False
2018-12-23,32,False
2018-12-30,56,False
2019-01-06,60,False
2019-01-13,41,False
2019-01-20,40,False
2019-01-27,22,False
2019-02-03,13,False
2019-02-10,23,False
2019-02-17,24,False
2019-02-24,42,False
2019-03-03,40,False
2019-03-10,55,False
2019-03-17,57,False
2019-03-24,28,False
2019-03-31,41,False
2019-04-07,37,False
2019-04-14,53,False
2019-04-21,47,False
2019-04-28,18,False
2019-05-05,41,False
2019-05-12,32,False
2019-05-19,34,False
2019-05-26,37,False
2019-06-02,51,False
2019-06-09,31,False
2019-06-16,50,False
2019-06-23,54,False
2019-06-30,50,False
2019-07-07,68,False
2019-07-14,37,False
2019-07-21,57,False
2019-07-28,44,False
2019-08-04,44,False
2019-08-11,29,False
2019-08-18,48,False
2019-08-25,50,False
2019-09-01,53,False
2019-09-08,57,False
2019-09-15,48,False
2019-09-22,21,False
2019-09-29,34,False
2019-10-06,26,False
2019-10-13,30,False
2019-10-20,64,False
2019-10-27,46,False
2019-11-03,50,False
2019-11-10,38,False
2019-11-17,29,False
2019-11-24,32,False
2019-12-01,33,False
2019-12-08,33,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,53,False
2020-01-05,44,False
2020-01-12,24,False
2020-01-19,73,False
2020-01-26,48,False
2020-02-02,36,False
2020-02-09,24,False
2020-02-16,52,False
2020-02-23,39,False
2020-03-01,35,False
2020-03-08,31,False
2020-03-15,11,False
2020-03-22,27,False
2020-03-29,21,False
2020-04-05,36,False
2020-04-12,29,False
2020-04-19,39,False
2020-04-26,31,False
2020-05-03,44,False
2020-05-10,72,False
2020-05-17,73,False
2020-05-24,93,False
2020-05-31,49,False
2020-06-07,54,False
2020-06-14,30,False
