geoName,geoCode,reparation store
Brittany,FR-E,0.0
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,100.0
Provence-Alpes-Côte d'Azur,FR-U,88.0
Île-de-France,FR-J,68.0
Grand-est,FR-GE,0.0
Hauts-de-france,FR-HF,27.5
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,20.666666666666668
Occitanie,FR-OC,55.5
Auvergne-Rhône-Alpes,FR-AR,39.0
