geoName,geoCode,Recyclinghof
Baden-Württemberg,DE-BW,61
Bavaria,DE-BY,41
Berlin,DE-BE,34
Brandenburg,DE-BB,27
Bremen,DE-HB,100
Hamburg,DE-HH,99
Hesse,DE-HE,16
Lower Saxony,DE-NI,25
Mecklenburg-Vorpommern,DE-MV,25
North Rhine-Westphalia,DE-NW,23
Rhineland-Palatinate,DE-RP,6
Saarland,DE-SL,3
Saxony,DE-SN,4
Saxony-Anhalt,DE-ST,6
Schleswig-Holstein,DE-SH,82
Thuringia,DE-TH,19
