geoName,geoCode,Trucco sposa
Abruzzo,IT-65,81
Aosta,IT-23,0
Apulia,IT-75,100
Basilicata,IT-77,0
Calabria,IT-78,69
Campania,IT-72,89
Emilia-Romagna,IT-45,63
Friuli-Venezia Giulia,IT-36,0
Lazio,IT-62,77
Liguria,IT-42,94
Lombardy,IT-25,67
Marche,IT-57,64
Molise,IT-67,0
Piedmont,IT-21,52
Sardinia,IT-88,99
Sicily,IT-82,93
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,73
Umbria,IT-55,60
Veneto,IT-34,43
