geoName,geoCode,Badeteich
Burgenland,AT-1,44
Carinthia,AT-2,28
Lower Austria,AT-3,89
Salzburg,AT-5,8
Styria,AT-6,31
Tyrol,AT-7,16
Upper Austria,AT-4,14
Vienna,AT-9,100
Vorarlberg,AT-8,0
