geoName,geoCode,Gartenideen
Burgenland,AT-1,0
Carinthia,AT-2,71
Lower Austria,AT-3,78
Salzburg,AT-5,61
Styria,AT-6,100
Tyrol,AT-7,41
Upper Austria,AT-4,60
Vienna,AT-9,49
Vorarlberg,AT-8,0
