geoName,geoCode,fioraio fioraio
Abruzzo,IT-65,92
Aosta,IT-23,0
Apulia,IT-75,81
Basilicata,IT-77,66
Calabria,IT-78,43
Campania,IT-72,79
Emilia-Romagna,IT-45,64
Friuli-Venezia Giulia,IT-36,42
Lazio,IT-62,71
Liguria,IT-42,43
Lombardy,IT-25,48
Marche,IT-57,97
Molise,IT-67,55
Piedmont,IT-21,66
Sardinia,IT-88,49
Sicily,IT-82,63
Trentino-Alto Adige/South Tyrol,IT-32,15
Tuscany,IT-52,100
Umbria,IT-55,71
Veneto,IT-34,23
