geoName,geoCode,Kochschule
Baden-Württemberg,DE-BW,68
Bavaria,DE-BY,49
Berlin,DE-BE,28
Brandenburg,DE-BB,41
Bremen,DE-HB,100
Hamburg,DE-HH,41
Hesse,DE-HE,43
Lower Saxony,DE-NI,61
Mecklenburg-Vorpommern,DE-MV,34
North Rhine-Westphalia,DE-NW,42
Rhineland-Palatinate,DE-RP,63
Saarland,DE-SL,58
Saxony,DE-SN,43
Saxony-Anhalt,DE-ST,30
Schleswig-Holstein,DE-SH,63
Thuringia,DE-TH,38
