geoName,geoCode,Hip Hop
Abruzzo,IT-65,80
Aosta,IT-23,0
Apulia,IT-75,80
Basilicata,IT-77,78
Calabria,IT-78,57
Campania,IT-72,70
Emilia-Romagna,IT-45,86
Friuli-Venezia Giulia,IT-36,74
Lazio,IT-62,70
Liguria,IT-42,73
Lombardy,IT-25,88
Marche,IT-57,100
Molise,IT-67,99
Piedmont,IT-21,87
Sardinia,IT-88,88
Sicily,IT-82,69
Trentino-Alto Adige/South Tyrol,IT-32,81
Tuscany,IT-52,92
Umbria,IT-55,94
Veneto,IT-34,88
