geoName,geoCode,Terrassenüberdachung
Burgenland,AT-1,100
Carinthia,AT-2,86
Lower Austria,AT-3,78
Salzburg,AT-5,37
Styria,AT-6,72
Tyrol,AT-7,37
Upper Austria,AT-4,67
Vienna,AT-9,36
Vorarlberg,AT-8,37
