geoName,geoCode,Hochzeitsausstatter
Baden-Württemberg,DE-BW,0
Bavaria,DE-BY,6
Berlin,DE-BE,16
Brandenburg,DE-BB,62
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,10
Lower Saxony,DE-NI,9
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,8
Rhineland-Palatinate,DE-RP,0
Saarland,DE-SL,0
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,99
