geoName,geoCode,coches deportivos
Andalusia,ES-AN,53
Aragon,ES-AR,71
Asturias,ES-AS,71
Balearic Islands,ES-IB,100
Basque Country,ES-PV,65
Canary Islands,ES-CN,40
Cantabria,ES-CB,62
Castile and León,ES-CL,65
Castile-La Mancha,ES-CM,71
Catalonia,ES-CT,59
Ceuta,ES-CE,0
Community of Madrid,ES-MD,42
Extremadura,ES-EX,62
Galicia,ES-GA,92
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,70
Region of Murcia,ES-MC,91
Valencian Community,ES-VC,68
