date,Sperrmüll entsorgen,isPartial
2018-01-07,37,False
2018-01-14,47,False
2018-01-21,40,False
2018-01-28,67,False
2018-02-04,45,False
2018-02-11,68,False
2018-02-18,58,False
2018-02-25,27,False
2018-03-04,44,False
2018-03-11,47,False
2018-03-18,48,False
2018-03-25,65,False
2018-04-01,62,False
2018-04-08,52,False
2018-04-15,61,False
2018-04-22,58,False
2018-04-29,53,False
2018-05-06,65,False
2018-05-13,44,False
2018-05-20,73,False
2018-05-27,49,False
2018-06-03,55,False
2018-06-10,73,False
2018-06-17,47,False
2018-06-24,55,False
2018-07-01,41,False
2018-07-08,38,False
2018-07-15,46,False
2018-07-22,56,False
2018-07-29,46,False
2018-08-05,66,False
2018-08-12,46,False
2018-08-19,63,False
2018-08-26,74,False
2018-09-02,59,False
2018-09-09,72,False
2018-09-16,82,False
2018-09-23,76,False
2018-09-30,41,False
2018-10-07,75,False
2018-10-14,62,False
2018-10-21,57,False
2018-10-28,27,False
2018-11-04,59,False
2018-11-11,50,False
2018-11-18,48,False
2018-11-25,43,False
2018-12-02,59,False
2018-12-09,40,False
2018-12-16,37,False
2018-12-23,35,False
2018-12-30,64,False
2019-01-06,63,False
2019-01-13,37,False
2019-01-20,34,False
2019-01-27,50,False
2019-02-03,44,False
2019-02-10,61,False
2019-02-17,42,False
2019-02-24,69,False
2019-03-03,79,False
2019-03-10,63,False
2019-03-17,66,False
2019-03-24,59,False
2019-03-31,66,False
2019-04-07,90,False
2019-04-14,74,False
2019-04-21,58,False
2019-04-28,77,False
2019-05-05,69,False
2019-05-12,69,False
2019-05-19,42,False
2019-05-26,46,False
2019-06-02,45,False
2019-06-09,50,False
2019-06-16,60,False
2019-06-23,66,False
2019-06-30,49,False
2019-07-07,58,False
2019-07-14,64,False
2019-07-21,56,False
2019-07-28,44,False
2019-08-04,86,False
2019-08-11,49,False
2019-08-18,70,False
2019-08-25,56,False
2019-09-01,61,False
2019-09-08,52,False
2019-09-15,45,False
2019-09-22,60,False
2019-09-29,86,False
2019-10-06,72,False
2019-10-13,62,False
2019-10-20,68,False
2019-10-27,61,False
2019-11-03,65,False
2019-11-10,60,False
2019-11-17,60,False
2019-11-24,35,False
2019-12-01,54,False
2019-12-08,57,False
2019-12-15,40,False
2019-12-22,32,False
2019-12-29,75,False
2020-01-05,67,False
2020-01-12,50,False
2020-01-19,52,False
2020-01-26,60,False
2020-02-02,52,False
2020-02-09,76,False
2020-02-16,38,False
2020-02-23,68,False
2020-03-01,39,False
2020-03-08,50,False
2020-03-15,52,False
2020-03-22,56,False
2020-03-29,67,False
2020-04-05,68,False
2020-04-12,100,False
2020-04-19,79,False
2020-04-26,61,False
2020-05-03,91,False
2020-05-10,94,False
