geoName,geoCode,Terrasse
Burgenland,AT-1,89
Carinthia,AT-2,94
Lower Austria,AT-3,91
Salzburg,AT-5,82
Styria,AT-6,79
Tyrol,AT-7,72
Upper Austria,AT-4,81
Vienna,AT-9,64
Vorarlberg,AT-8,100
