geoName,geoCode,Heizungswartung
Baden-Württemberg,DE-BW,22
Bavaria,DE-BY,16
Berlin,DE-BE,22
Brandenburg,DE-BB,34
Bremen,DE-HB,100
Hamburg,DE-HH,63
Hesse,DE-HE,16
Lower Saxony,DE-NI,42
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,21
Rhineland-Palatinate,DE-RP,24
Saarland,DE-SL,0
Saxony,DE-SN,19
Saxony-Anhalt,DE-ST,56
Schleswig-Holstein,DE-SH,61
Thuringia,DE-TH,0
