date,bomboniere laurea,isPartial
2018-01-07,38,False
2018-01-14,55,False
2018-01-21,45,False
2018-01-28,49,False
2018-02-04,60,False
2018-02-11,81,False
2018-02-18,100,False
2018-02-25,100,False
2018-03-04,82,False
2018-03-11,77,False
2018-03-18,60,False
2018-03-25,47,False
2018-04-01,62,False
2018-04-08,35,False
2018-04-15,28,False
2018-04-22,35,False
2018-04-29,34,False
2018-05-06,28,False
2018-05-13,30,False
2018-05-20,34,False
2018-05-27,26,False
2018-06-03,30,False
2018-06-10,38,False
2018-06-17,61,False
2018-06-24,66,False
2018-07-01,53,False
2018-07-08,63,False
2018-07-15,36,False
2018-07-22,14,False
2018-07-29,31,False
2018-08-05,32,False
2018-08-12,22,False
2018-08-19,17,False
2018-08-26,43,False
2018-09-02,48,False
2018-09-09,66,False
2018-09-16,74,False
2018-09-23,80,False
2018-09-30,89,False
2018-10-07,95,False
2018-10-14,83,False
2018-10-21,70,False
2018-10-28,48,False
2018-11-04,57,False
2018-11-11,75,False
2018-11-18,45,False
2018-11-25,27,False
2018-12-02,32,False
2018-12-09,24,False
2018-12-16,6,False
2018-12-23,21,False
2018-12-30,11,False
2019-01-06,26,False
2019-01-13,40,False
2019-01-20,43,False
2019-01-27,55,False
2019-02-03,65,False
2019-02-10,53,False
2019-02-17,68,False
2019-02-24,78,False
2019-03-03,98,False
2019-03-10,64,False
2019-03-17,81,False
2019-03-24,65,False
2019-03-31,39,False
2019-04-07,42,False
2019-04-14,14,False
2019-04-21,34,False
2019-04-28,29,False
2019-05-05,28,False
2019-05-12,45,False
2019-05-19,30,False
2019-05-26,24,False
2019-06-02,39,False
2019-06-09,47,False
2019-06-16,49,False
2019-06-23,50,False
2019-06-30,64,False
2019-07-07,52,False
2019-07-14,66,False
2019-07-21,28,False
2019-07-28,32,False
2019-08-04,17,False
2019-08-11,20,False
2019-08-18,12,False
2019-08-25,61,False
2019-09-01,54,False
2019-09-08,88,False
2019-09-15,65,False
2019-09-22,78,False
2019-09-29,69,False
2019-10-06,82,False
2019-10-13,74,False
2019-10-20,70,False
2019-10-27,59,False
2019-11-03,51,False
2019-11-10,62,False
2019-11-17,65,False
2019-11-24,35,False
2019-12-01,42,False
2019-12-08,22,False
2019-12-15,26,False
2019-12-22,13,False
2019-12-29,20,False
2020-01-05,41,False
2020-01-12,44,False
2020-01-19,69,False
2020-01-26,50,False
2020-02-02,75,False
2020-02-09,48,False
2020-02-16,73,False
2020-02-23,46,False
2020-03-01,46,False
2020-03-08,20,False
2020-03-15,8,False
2020-03-22,16,False
2020-03-29,6,False
2020-04-05,9,False
2020-04-12,13,False
2020-04-19,18,False
2020-04-26,18,True
