geoName,geoCode,Grabgestaltung
Baden-Württemberg,DE-BW,46
Bavaria,DE-BY,51
Berlin,DE-BE,11
Brandenburg,DE-BB,76
Bremen,DE-HB,47
Hamburg,DE-HH,30
Hesse,DE-HE,40
Lower Saxony,DE-NI,60
Mecklenburg-Vorpommern,DE-MV,36
North Rhine-Westphalia,DE-NW,56
Rhineland-Palatinate,DE-RP,54
Saarland,DE-SL,73
Saxony,DE-SN,47
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,24
Thuringia,DE-TH,27
