geoName,geoCode,Renovierung
Burgenland,AT-1,0
Carinthia,AT-2,52
Lower Austria,AT-3,37
Salzburg,AT-5,22
Styria,AT-6,70
Tyrol,AT-7,37
Upper Austria,AT-4,53
Vienna,AT-9,51
Vorarlberg,AT-8,100
