geoName,geoCode,moustiquaire fenêtre
Brittany,FR-E,17.08185053380783
Centre-Val de Loire,FR-F,59.7864768683274
Corsica,FR-H,0.0
Pays de la Loire,FR-R,73.66548042704626
Provence-Alpes-Côte d'Azur,FR-U,45.907473309608534
Île-de-France,FR-J,22.419928825622776
Grand-est,FR-GE,100.0
Hauts-de-france,FR-HF,35.765124555160135
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,87.54448398576513
Nouvelle-Aquitaine,FR-NA,49.46619217081851
Occitanie,FR-OC,75.26690391459074
Auvergne-Rhône-Alpes,FR-AR,80.6049822064057
