geoName,geoCode,Rollo
Burgenland,AT-1,98
Carinthia,AT-2,100
Lower Austria,AT-3,69
Salzburg,AT-5,68
Styria,AT-6,83
Tyrol,AT-7,50
Upper Austria,AT-4,76
Vienna,AT-9,69
Vorarlberg,AT-8,67
