geoName,geoCode,Wandfliesen
Baden-Württemberg,DE-BW,51
Bavaria,DE-BY,53
Berlin,DE-BE,48
Brandenburg,DE-BB,69
Bremen,DE-HB,75
Hamburg,DE-HH,34
Hesse,DE-HE,50
Lower Saxony,DE-NI,66
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,55
Rhineland-Palatinate,DE-RP,55
Saarland,DE-SL,39
Saxony,DE-SN,69
Saxony-Anhalt,DE-ST,99
Schleswig-Holstein,DE-SH,71
Thuringia,DE-TH,56
