geoName,geoCode,Maler
Burgenland,AT-1,63
Carinthia,AT-2,89
Lower Austria,AT-3,100
Salzburg,AT-5,73
Styria,AT-6,79
Tyrol,AT-7,78
Upper Austria,AT-4,75
Vienna,AT-9,80
Vorarlberg,AT-8,89
