geoName,geoCode,Maler
Baden-Württemberg,DE-BW,76
Bavaria,DE-BY,79
Berlin,DE-BE,65
Brandenburg,DE-BB,79
Bremen,DE-HB,71
Hamburg,DE-HH,70
Hesse,DE-HE,62
Lower Saxony,DE-NI,81
Mecklenburg-Vorpommern,DE-MV,96
North Rhine-Westphalia,DE-NW,79
Rhineland-Palatinate,DE-RP,75
Saarland,DE-SL,85
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,79
Schleswig-Holstein,DE-SH,87
Thuringia,DE-TH,84
