date,Maler,isPartial
2018-01-07,87,False
2018-01-14,79,False
2018-01-21,76,False
2018-01-28,99,False
2018-02-04,90,False
2018-02-11,83,False
2018-02-18,74,False
2018-02-25,87,False
2018-03-04,86,False
2018-03-11,84,False
2018-03-18,67,False
2018-03-25,73,False
2018-04-01,78,False
2018-04-08,71,False
2018-04-15,80,False
2018-04-22,82,False
2018-04-29,78,False
2018-05-06,63,False
2018-05-13,72,False
2018-05-20,74,False
2018-05-27,60,False
2018-06-03,83,False
2018-06-10,71,False
2018-06-17,67,False
2018-06-24,59,False
2018-07-01,77,False
2018-07-08,96,False
2018-07-15,65,False
2018-07-22,67,False
2018-07-29,67,False
2018-08-05,65,False
2018-08-12,76,False
2018-08-19,69,False
2018-08-26,92,False
2018-09-02,77,False
2018-09-09,83,False
2018-09-16,89,False
2018-09-23,79,False
2018-09-30,86,False
2018-10-07,72,False
2018-10-14,81,False
2018-10-21,74,False
2018-10-28,70,False
2018-11-04,84,False
2018-11-11,71,False
2018-11-18,69,False
2018-11-25,54,False
2018-12-02,59,False
2018-12-09,75,False
2018-12-16,66,False
2018-12-23,53,False
2018-12-30,70,False
2019-01-06,80,False
2019-01-13,79,False
2019-01-20,80,False
2019-01-27,85,False
2019-02-03,87,False
2019-02-10,81,False
2019-02-17,86,False
2019-02-24,76,False
2019-03-03,81,False
2019-03-10,74,False
2019-03-17,75,False
2019-03-24,91,False
2019-03-31,90,False
2019-04-07,88,False
2019-04-14,76,False
2019-04-21,64,False
2019-04-28,74,False
2019-05-05,73,False
2019-05-12,76,False
2019-05-19,71,False
2019-05-26,65,False
2019-06-02,72,False
2019-06-09,77,False
2019-06-16,61,False
2019-06-23,65,False
2019-06-30,74,False
2019-07-07,77,False
2019-07-14,80,False
2019-07-21,65,False
2019-07-28,70,False
2019-08-04,59,False
2019-08-11,67,False
2019-08-18,88,False
2019-08-25,98,False
2019-09-01,82,False
2019-09-08,89,False
2019-09-15,76,False
2019-09-22,74,False
2019-09-29,67,False
2019-10-06,84,False
2019-10-13,82,False
2019-10-20,86,False
2019-10-27,75,False
2019-11-03,82,False
2019-11-10,91,False
2019-11-17,88,False
2019-11-24,59,False
2019-12-01,74,False
2019-12-08,69,False
2019-12-15,68,False
2019-12-22,57,False
2019-12-29,62,False
2020-01-05,80,False
2020-01-12,82,False
2020-01-19,100,False
2020-01-26,79,False
2020-02-02,73,False
2020-02-09,79,False
2020-02-16,82,False
2020-02-23,69,False
2020-03-01,93,False
2020-03-08,71,False
2020-03-15,68,False
2020-03-22,68,False
2020-03-29,71,False
2020-04-05,73,False
2020-04-12,74,False
2020-04-19,80,False
2020-04-26,74,False
2020-05-03,80,False
2020-05-10,83,False
2020-05-17,80,True
