date,Maler,isPartial
2018-01-07,44,False
2018-01-14,71,False
2018-01-21,89,False
2018-01-28,81,False
2018-02-04,62,False
2018-02-11,79,False
2018-02-18,62,False
2018-02-25,73,False
2018-03-04,69,False
2018-03-11,66,False
2018-03-18,100,False
2018-03-25,68,False
2018-04-01,75,False
2018-04-08,50,False
2018-04-15,77,False
2018-04-22,47,False
2018-04-29,60,False
2018-05-06,63,False
2018-05-13,60,False
2018-05-20,70,False
2018-05-27,69,False
2018-06-03,56,False
2018-06-10,60,False
2018-06-17,52,False
2018-06-24,53,False
2018-07-01,70,False
2018-07-08,64,False
2018-07-15,48,False
2018-07-22,61,False
2018-07-29,70,False
2018-08-05,39,False
2018-08-12,54,False
2018-08-19,67,False
2018-08-26,56,False
2018-09-02,78,False
2018-09-09,61,False
2018-09-16,62,False
2018-09-23,67,False
2018-09-30,64,False
2018-10-07,58,False
2018-10-14,72,False
2018-10-21,50,False
2018-10-28,85,False
2018-11-04,69,False
2018-11-11,58,False
2018-11-18,47,False
2018-11-25,58,False
2018-12-02,44,False
2018-12-09,54,False
2018-12-16,47,False
2018-12-23,71,False
2018-12-30,57,False
2019-01-06,49,False
2019-01-13,48,False
2019-01-20,64,False
2019-01-27,78,False
2019-02-03,77,False
2019-02-10,62,False
2019-02-17,70,False
2019-02-24,72,False
2019-03-03,51,False
2019-03-10,68,False
2019-03-17,90,False
2019-03-24,78,False
2019-03-31,73,False
2019-04-07,73,False
2019-04-14,54,False
2019-04-21,81,False
2019-04-28,75,False
2019-05-05,58,False
2019-05-12,76,False
2019-05-19,62,False
2019-05-26,71,False
2019-06-02,63,False
2019-06-09,57,False
2019-06-16,57,False
2019-06-23,61,False
2019-06-30,64,False
2019-07-07,58,False
2019-07-14,56,False
2019-07-21,54,False
2019-07-28,69,False
2019-08-04,54,False
2019-08-11,55,False
2019-08-18,66,False
2019-08-25,84,False
2019-09-01,70,False
2019-09-08,70,False
2019-09-15,60,False
2019-09-22,68,False
2019-09-29,65,False
2019-10-06,58,False
2019-10-13,70,False
2019-10-20,50,False
2019-10-27,76,False
2019-11-03,87,False
2019-11-10,60,False
2019-11-17,72,False
2019-11-24,49,False
2019-12-01,79,False
2019-12-08,54,False
2019-12-15,53,False
2019-12-22,54,False
2019-12-29,53,False
2020-01-05,70,False
2020-01-12,79,False
2020-01-19,81,False
2020-01-26,67,False
2020-02-02,64,False
2020-02-09,59,False
2020-02-16,89,False
2020-02-23,59,False
2020-03-01,80,False
2020-03-08,69,False
2020-03-15,52,False
2020-03-22,46,False
2020-03-29,76,False
2020-04-05,68,False
2020-04-12,81,False
2020-04-19,61,False
2020-04-26,91,False
2020-05-03,72,False
2020-05-10,61,False
2020-05-17,57,True
