,geoName,climatiseur mural
3,Brittany,0.0
5,Centre-Val de Loire,61.36363636363637
7,Corsica,0.0
15,Pays de la Loire,25.0
18,Provence-Alpes-Côte d'Azur,54.54545454545454
21,Île-de-France,31.818181818181817
22,Grand-est,96.96969696969695
23,Hauts-de-france,26.136363636363637
24,Normandie,21.59090909090909
25,Bourgogne-Franche-Comté,60.22727272727273
26,Nouvelle-Aquitaine,100.0
27,Occitanie,45.45454545454545
28,Auvergne-Rhône-Alpes,72.72727272727273
