geoName,geoCode,Sonnensegel Rechteckig
Baden-Württemberg,DE-BW,73
Bavaria,DE-BY,46
Berlin,DE-BE,44
Brandenburg,DE-BB,54
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,57
Lower Saxony,DE-NI,83
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,80
Rhineland-Palatinate,DE-RP,75
Saarland,DE-SL,0
Saxony,DE-SN,49
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,66
Thuringia,DE-TH,100
