geoName,geoCode,Enthärtungsanlage
Baden-Württemberg,DE-BW,88
Bavaria,DE-BY,96
Berlin,DE-BE,43
Brandenburg,DE-BB,75
Bremen,DE-HB,0
Hamburg,DE-HH,20
Hesse,DE-HE,62
Lower Saxony,DE-NI,30
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,36
Rhineland-Palatinate,DE-RP,73
Saarland,DE-SL,0
Saxony,DE-SN,16
Saxony-Anhalt,DE-ST,37
Schleswig-Holstein,DE-SH,55
Thuringia,DE-TH,68
